Satellite_Name,Catalog_Number,Classification,International_Designator,Epoch_Year,Epoch_Day,First_Derivative_Mean_Motion,Second_Derivative_Mean_Motion,BSTAR_Drag_Term,Ephemeris_Type,Element_Set_Number,Checksum_Line1,Inclination_deg,RAAN_deg,Eccentricity,Argument_of_Perigee_deg,Mean_Anomaly_deg,Mean_Motion_rev_per_day,Revolution_Number,Checksum_Line2
IRIDIUM 7,24793,U,97020B,26,71.51251582,4.92e-06,0.0,0.00016198999999999999,0,999,2,86.3908,64.4117,0.0001975,80.9987,279.1433,14.36187486,51040,4
IRIDIUM 5,24795,U,97020D,26,71.62611496,5.035e-05,0.0,0.00038599,0,999,6,86.3893,319.6474,0.0099647,252.3257,106.7076,14.97664148,52559,4
IRIDIUM 4,24796,U,97020E,26,71.46659473,5.23e-06,0.0,0.00016944,0,999,3,86.3908,61.1269,0.0002149,84.782,275.3622,14.3709613,51099,9
IRIDIUM 914,24836,U,97030A,26,71.48018921,5.82e-06,0.0,0.0001744,0,999,5,86.3878,68.9329,0.0003605,74.2365,285.9232,14.41164397,64576,2
IRIDIUM 16,24841,U,97030F,26,71.5665074,4.47e-06,0.0,0.00013847000000000002,0,999,8,86.3968,92.544,2.1e-05,160.5315,199.5891,14.38985112,50559,7
IRIDIUM 911,24842,U,97030G,26,71.55400712,6.4e-06,0.0,0.0001669,0,999,4,86.4392,91.0175,0.0011903,285.1045,74.8841,14.48020824,51391,0
IRIDIUM 17,24870,U,97034B,26,71.5768517,4.29e-06,0.0,0.00013516,0,999,3,86.3944,121.9799,0.0001983,137.5556,222.5795,14.38123618,50215,0
IRIDIUM 920,24871,U,97034C,26,71.55515028,4.41e-06,0.0,0.00012894,0,999,8,86.392,100.5722,0.0009276,277.471,82.5436,14.41826052,50524,8
IRIDIUM 26,24903,U,97043A,26,71.29417384,5.65e-06,0.0,0.00018262,0,999,3,86.4016,357.9268,0.000193,84.6965,275.4453,14.37420677,49525,2
IRIDIUM 22,24907,U,97043E,26,71.30871928,4.37e-06,0.0,0.00014327,0,999,3,86.4019,1.6885,0.0002073,89.5594,270.5841,14.36199949,49525,9
IRIDIUM 29,24944,U,97051A,26,71.5811919,5.34e-06,0.0,0.00017468,0,999,6,86.397,31.1944,0.0002309,90.0822,270.0639,14.36747042,49180,2
